id;x;y;type;capacity;cost
290;17.032807;51.0666625;residental;0.0;0.0
291;16.9782985;51.0624538;residental;0.0;0.0
292;17.0134139;51.0673026;residental;0.0;0.0
293;17.059627;51.0520153;residental;0.0;0.0
294;16.9793947;51.0634441;residental;0.0;0.0
295;17.033611;51.0643104;residental;0.0;0.0
296;17.030622;51.0670015;residental;0.0;0.0
297;17.0229676;51.0528201;residental;0.0;0.0
298;17.0412482;51.062081;residental;0.0;0.0
299;17.0267151;51.0487186;residental;0.0;0.0
300;17.063725;51.0620005;residental;0.0;0.0
301;17.0812131;51.0608821;residental;0.0;0.0
302;17.0621908;51.0515324;residental;0.0;0.0
303;17.03424;51.0668755;residental;0.0;0.0
304;17.0153138;51.0554803;residental;0.0;0.0
305;17.0066536;51.0689456;residental;0.0;0.0
306;17.0143717;51.069077;residental;0.0;0.0
307;17.053994;51.0479855;residental;0.0;0.0
308;17.0252215;51.06307;residental;0.0;0.0
309;17.035627;51.0640625;residental;0.0;0.0
310;17.0559071;51.0488225;residental;0.0;0.0
311;17.0915004;51.069671;residental;0.0;0.0
312;17.0230015;51.0584635;residental;0.0;0.0
313;17.0013971;51.0666702;residental;0.0;0.0
314;17.03735;51.068199;residental;0.0;0.0
315;17.0302195;51.0648655;residental;0.0;0.0
316;17.0232702;51.0567086;residental;0.0;0.0
317;17.0283665;51.059184;residental;0.0;0.0
318;17.0086715;51.0694254;residental;0.0;0.0
319;17.030683;51.064962;residental;0.0;0.0
320;17.0273295;51.0570825;residental;0.0;0.0
321;17.041156;51.062111;residental;0.0;0.0
322;17.0262746;51.0474512;residental;0.0;0.0
323;16.9992121;51.0680352;residental;0.0;0.0
324;17.0087143;51.0577892;residental;0.0;0.0
325;17.0249974;51.0468106;residental;0.0;0.0
326;17.0865582;51.0525725;residental;0.0;0.0
327;17.0933287;51.0682424;residental;0.0;0.0
328;17.08016;51.067697;residental;0.0;0.0
329;17.0286225;51.060958;residental;0.0;0.0
330;17.0226503;51.0567518;residental;0.0;0.0
331;17.0061774;51.060917;residental;0.0;0.0
332;17.026324;51.0533005;residental;0.0;0.0
333;17.057152;51.059225;residental;0.0;0.0
334;16.9992073;51.0596101;residental;0.0;0.0
335;17.0356997;51.0648602;residental;0.0;0.0
336;17.0112752;51.0674048;residental;0.0;0.0
337;17.0217778;51.0529622;residental;0.0;0.0
338;17.0088824;51.0561595;residental;0.0;0.0
339;17.0602565;51.0528529;residental;0.0;0.0
340;17.0892805;51.0560595;residental;0.0;0.0
341;17.0815228;51.0679896;residental;0.0;0.0
342;17.03248;51.0672455;residental;0.0;0.0
343;16.982409;51.0699665;residental;0.0;0.0
344;17.0141707;51.0557792;residental;0.0;0.0
345;17.0817538;51.0677568;residental;0.0;0.0
346;16.9916031;51.0613704;residental;0.0;0.0
347;16.9754353;51.0676212;residental;0.0;0.0
348;17.0602578;51.058562;residental;0.0;0.0
349;17.0221446;51.0497476;residental;0.0;0.0
350;17.02388;51.0474512;residental;0.0;0.0
351;17.034144;51.0662985;residental;0.0;0.0
352;17.0294665;51.057497;residental;0.0;0.0
353;17.0245038;51.0464487;residental;0.0;0.0
354;17.0845855;51.0541745;residental;0.0;0.0
355;17.0342595;51.058368;residental;0.0;0.0
356;17.0069627;51.0564414;residental;0.0;0.0
