@id;building;name;@lat;@lon
100738218;residential;;51.0607425;17.0285430
100738233;residential;;51.0488898;17.0202560
100738253;residential;;51.0680700;17.0409125
100738453;residential;;51.0590415;17.0227025
100738485;residential;;51.0583240;17.0321300
100738531;residential;;51.0494090;17.0553436
100738588;residential;;51.0478736;17.0516146
100738833;residential;;51.0642710;17.0644530
100738876;residential;;51.0591410;17.0184260
100738959;residential;;51.0650045;17.0318930
100738986;residential;;51.0460123;17.0263303
100739076;residential;;51.0700490;17.0489960
100739198;residential;;51.0527465;17.0301765
100739357;residential;;51.0524400;17.0302720
100739361;residential;;51.0619095;17.0294655
100739363;residential;;51.0586270;17.0286680
100739501;residential;;51.0620595;17.0623430
100739540;residential;;51.0690525;17.0366080
100739969;residential;;51.0633695;17.0769095
100740078;residential;;51.0507220;17.0308985
100740101;residential;;51.0585305;17.0320535
100740108;residential;;51.0592175;17.0574585
100740160;residential;;51.0513100;17.0299080
100740214;residential;;51.0471084;17.0556730
100740308;residential;;51.0565465;17.0291520
100740561;residential;;51.0630615;17.0317345
100740603;residential;;51.0699245;17.0346840
100740613;residential;;51.0539035;17.0201920
100740630;residential;;51.0623415;17.0329707
100740659;residential;;51.0459058;17.0252700
100740732;residential;;51.0523085;17.0293025
100740887;residential;;51.0575530;17.0235580
100740971;residential;;51.0508725;17.0210785
100741014;residential;;51.0621876;16.9841277
100741161;residential;;51.0637885;17.0653325
100741178;residential;;51.0697030;17.0431480
100741188;residential;;51.0488564;17.0205144
100741309;residential;;51.0522535;17.0264805
100741361;residential;;51.0627500;17.0744115
100741372;residential;;51.0555720;17.0238905
100741426;residential;;51.0633680;17.0644560
100741583;residential;;51.0583675;17.0341740
100741620;residential;;51.0541435;17.0204420
100741626;residential;;51.0583545;17.0329760
100741642;residential;;51.0666675;17.0305685
100741661;residential;;51.0523435;17.0269095
100741836;residential;;51.0583665;17.0339175
100741882;residential;;51.0583560;17.0332325
100741910;residential;;51.0676720;17.0371605
100741924;residential;;51.0582990;17.0229125
100742068;residential;;51.0622685;17.0284400
100742191;residential;;51.0490700;17.0186680
100742213;residential;;51.0558750;17.0291570
100742284;residential;;51.0600955;17.0282245
100742290;residential;;51.0622845;17.0766605
100742509;residential;;51.0636895;17.0294890
100742759;residential;;51.0474230;17.0887125
100742780;residential;;51.0496020;17.0197425
100742813;residential;;51.0583670;17.0340885
100742861;residential;;51.0516075;17.0299765
100742870;residential;;51.0591550;17.0585665
100742887;residential;;51.0676250;17.0306895
100742987;residential;;51.0654020;17.0303015
100743150;residential;;51.0583560;17.0333180
100743203;residential;;51.0630430;17.0642875
100743220;residential;;51.0581325;17.0286420
100743248;residential;;51.0674365;17.0324325
100743307;residential;;51.0596700;17.0592770
100743378;residential;;51.0694860;17.0418880
100743592;residential;;51.0566375;17.0260370
100743838;residential;;51.0651760;17.0292170
100744018;residential;;51.0479981;17.0510723
100744042;residential;;51.0661555;17.0317745
100744065;residential;;51.0665430;17.0305315
100744081;residential;;51.0577935;17.0276985
100744164;residential;;51.0659960;17.0097625
100744305;residential;;51.0582350;17.0279325
100744582;residential;;51.0584120;17.0584140
100744628;residential;;51.0512035;17.0232375
100744653;residential;;51.0498285;17.0198047
100744672;residential;;51.0668770;17.0306485
100744789;residential;;51.0583640;17.0591475
100744850;residential;;51.0501580;17.0317028
100744890;residential;;51.0612000;17.0270175
100745156;residential;;51.0663134;17.0953887
100745172;residential;;51.0583910;17.0223645
100745268;residential;;51.0518840;17.0300950
100745280;residential;;51.0516840;17.0232045
100745375;residential;;51.0670610;17.0326270
100745421;residential;;51.0642665;17.0318245
100745542;residential;;51.0489524;17.0197803
100745581;residential;;51.0591810;17.0581785
100745662;residential;;51.0573905;17.0358100
100745671;residential;;51.0583550;17.0330615
100745727;residential;;51.0511330;17.0190380
100745739;residential;;51.0477698;17.0522313
100745766;residential;;51.0511075;17.0182370
100745839;residential;;51.0622945;17.0295175
100745845;residential;;51.0489993;17.0194022
100745864;residential;;51.0525420;17.0278530
100745890;residential;;51.0583670;17.0340030
100745953;residential;;51.0565325;17.0286435
100745957;residential;;51.0620605;17.0299800
100745990;residential;;51.0562030;17.0275960
100745997;residential;;51.0501700;17.0199212
100745999;residential;;51.0664075;17.0300375
100746003;residential;;51.0596650;17.0285670
100746076;residential;;51.0641265;17.0287250
100746094;residential;;51.0621993;17.0332029
100746102;residential;;51.0617775;17.0290400
100746179;residential;;51.0532840;17.0267385
100746188;residential;;51.0517565;17.0217920
100746236;residential;;51.0499420;17.0198387
100746242;residential;;51.0583660;17.0338315
100746247;residential;;51.0647160;17.0288895
100746262;residential;;51.0677230;17.0302980
100746382;residential;;51.0624579;17.0286789
100746517;residential;;51.0497294;17.0197596
100746612;residential;;51.0521575;17.0301620
100746656;residential;;51.0583570;17.0335000
100746690;residential;;51.0682530;17.0305180
100746691;residential;;51.0579220;17.0576220
100746696;residential;;51.0485412;17.0511521
100746767;residential;;51.0521930;17.0290735
100746998;residential;;51.0699400;17.0326470
100747020;residential;;51.0682500;17.0306625
100747067;residential;;51.0653455;17.0292420
100747083;residential;;51.0489013;17.0201500
100747113;residential;;51.0636125;17.0651470
100747170;residential;;51.0688520;17.0806770
100747191;residential;;51.0681475;17.0380185
100747200;residential;;51.0632990;17.0788790
100747254;residential;;51.0547110;17.0277435
100747278;residential;;51.0466545;17.0520697
100747313;residential;;51.0686533;17.0369660
100747335;residential;;51.0652610;17.0302730
100747444;residential;;51.0667665;17.0301065
100747451;residential;;51.0457702;17.0256401
100747457;residential;;51.0622190;17.0292255
100747546;residential;;51.0568040;17.0257985
100747666;residential;;51.0526595;17.0301235
100747680;residential;;51.0470514;17.0256340
100747706;residential;;51.0573205;17.0586640
100747750;residential;;51.0658670;17.0097200
100747842;residential;;51.0612886;17.0272680
100747890;residential;;51.0574325;17.0355665
100748013;residential;;51.0500730;17.0327370
100748117;residential;;51.0637735;17.0775745
100748144;residential;;51.0589850;17.0282630
100748247;residential;;51.0681385;17.0405410
100748277;residential;;51.0613425;17.0295365
100748426;residential;;51.0638450;17.0284490
100748455;residential;;51.0487824;17.0557939
100748474;residential;;51.0695575;17.0422970
100748537;residential;;51.0589255;17.0232395
100748551;residential;;51.0574230;17.0356440
100748731;residential;;51.0680390;17.0387785
100748780;residential;;51.0587305;17.0577230
100748820;residential;;51.0691944;17.0913327
100748850;residential;;51.0651280;16.9793140
100748858;residential;;51.0506065;17.0209825
100749019;residential;;51.0487871;17.0210110
100749034;residential;;51.0619820;17.0297185
100749096;residential;;51.0591265;17.0277685
100749484;residential;;51.0583650;17.0337350
100749604;residential;;51.0637766;17.0739138
100749622;residential;;51.0529410;17.0302375
100749662;residential;;51.0687395;17.0807830
100749678;residential;;51.0633627;16.9788135
100749703;residential;;51.0625800;17.0640030
100749704;residential;;51.0586840;17.0182595
100749720;residential;;51.0475500;17.0515525
100749722;residential;;51.0591790;17.0297550
100749732;residential;;51.0643415;17.0310695
100749748;residential;;51.0625320;17.0293620
100749870;residential;;51.0675150;17.0336305
100749878;residential;;51.0672117;17.0954051
100750085;residential;;51.0574000;17.0357295
100750130;residential;;51.0637220;17.0291400
100750153;residential;;51.0485164;17.0531028
100750331;residential;;51.0630540;17.0773320
100750498;residential;;51.0598545;17.0280735
100750549;residential;;51.0651240;17.0302455
100750821;residential;;51.0618764;17.0285602
100751049;residential;;51.0592295;17.0623895
100751216;residential;;51.0524810;17.0273160
100751538;residential;;51.0696970;17.0327040
100751637;residential;;51.0514555;17.0303085
100751752;residential;;51.0574490;17.0354820
100751877;residential;;51.0532370;17.0271765
100751901;residential;;51.0479814;17.0545858
100751949;residential;;51.0533700;17.0259715
100752076;residential;;51.0685445;17.0405755
100752135;residential;;51.0478322;17.0526924
100752272;residential;;51.0489362;17.0199092
100752747;residential;;51.0518620;17.0291140
100753106;residential;;51.0480989;17.0553066
100753174;residential;;51.0542805;17.0205345
100753190;residential;;51.0590160;17.0288490
100753198;residential;;51.0592925;17.0662310
100753453;residential;;51.0680595;17.0098035
100753735;residential;;51.0600560;17.0276270
100753766;residential;;51.0527615;17.0260690
100753810;residential;;51.0676745;17.0325370
100753811;residential;;51.0573735;17.0241310
100753935;residential;;51.0475050;17.0257786
100754221;residential;;51.0588320;17.0226665
100754769;residential;;51.0628165;17.0641670
100754962;residential;;51.0515565;17.0246135
100755037;residential;;51.0476272;17.0510796
100755105;residential;;51.0612115;17.0287385
100755346;residential;;51.0641450;17.0300280
100755468;residential;;51.0695990;17.0796865
100755627;residential;;51.0573340;17.0275860
100755704;residential;;51.0506065;17.0200695
100755728;residential;;51.0640545;17.0291930
100755746;residential;;51.0683047;17.0935614
100755863;residential;;51.0497635;17.0216645
100755906;residential;;51.0667240;17.0305785
100755929;residential;;51.0645985;17.0288300
100756126;residential;;51.0594650;17.0284845
100756190;residential;;51.0594865;17.0597630
100756256;residential;;51.0615110;17.0280830
100756368;residential;;51.0547373;17.0313113
100756418;residential;;51.0457497;17.0260421
100756432;residential;;51.0646480;17.0318775
100756519;residential;;51.0603690;17.0277770
100756726;residential;;51.0520590;17.0299905
100756884;residential;;51.0618005;17.0630880
100756929;residential;;51.0468982;17.0260957
100757000;residential;;51.0493755;17.0196710
100757361;residential;;51.0584260;17.0580625
100757430;residential;;51.0583535;17.0594860
100757456;residential;;51.0694105;17.0326675
100757471;residential;;51.0605535;17.0296990
100757506;residential;;51.0612620;17.0289550
100757649;residential;;51.0583535;17.0328795
100757677;residential;;51.0500439;17.0198745
100757728;residential;;51.0616575;17.0641865
100757753;residential;;51.0640195;17.0770565
100757820;residential;;51.0586880;17.0581830
100757837;residential;;51.0576470;17.0276365
100757988;residential;;51.0693195;17.0415055
100757994;residential;;51.0619318;16.9839189
